avg_demand_MW,N_t,lookahead_hr,p_frac,p_mw,duration_hr,e_mwh,shed_sum,shed_mean,shed_max,g1_mean_MW,g1_max_MW,g1_energy_MWh,g1_ramp_up_max_MW_per_step,g1_ramp_down_min_MW_per_step,g2_mean_MW,g2_max_MW,g2_energy_MWh,g2_ramp_up_max_MW_per_step,g2_ramp_down_min_MW_per_step,batt_present,dispatch_L1,dispatch_L2,dispatch_Linf,g1_L1,g1_Linf,g2_L1,g2_Linf,batt_soc_min_MWh,batt_soc_max_MWh,batt_pnet_max_MW,batt_pnet_min_MW,batt_discharge_energy_MWh,batt_charge_energy_MWh,batt_throughput_MWh
300.0,13,1.0,0.0,0.0,3.0,0.0,25.162993331194173,0.09117026569273251,25.162993331194173,293.84800016509786,487.8841567274911,6758.50400379725,37.90577262274729,-22.48996880803338,6.014926635117881,67.1982542006919,138.34331260771125,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
300.0,13,1.0,0.01,3.0,3.0,9.0,19.162993331194173,0.0694311352579499,19.162993331194173,293.74712236087674,487.7469001638316,6756.183814300164,34.90577262274729,-19.48996880803338,6.004377491025975,65.59582180945608,138.10068229359743,5.0,-5.0,1.0,236.98485050727018,25.698276313752917,5.5646981736575185,143.63877897824906,5.5646981736575185,93.34607152902112,3.9745821574391016,0.9513157894736843,4.2368421052631575,3.0,-3.0,4.162103798898064,1.0992839876986864,5.261387786596751
300.0,13,1.0,0.05,15.0,3.0,45.0,0.0,0.0,0.0,293.40009629049695,496.37244928391897,6748.202214681429,29.258832239364835,-17.72043596730248,5.888267642666128,68.03059982502342,135.43015578132093,5.0,-5.0,1.0,656.8250250183753,80.31629720641143,19.039330797771868,441.9824629493622,19.039330797771868,214.84256206901318,19.039330797771868,4.5,21.18421052631579,15.0,-9.039702797974769,17.678101792624147,2.366239739479872,20.04434153210402
300.0,13,1.0,0.1,30.0,3.0,90.0,0.0,0.0,0.0,293.16826409830884,498.50403618252517,6742.870074261104,32.09264305177118,-36.90572207084472,5.3116665264306056,65.63298574884813,122.16833010790393,5.0,-5.0,1.0,949.8724697575017,134.58158978865174,30.0,721.249735499043,30.0,228.62273425845865,21.17091769637807,9.0,42.36842105263158,30.0,-18.551110637043713,36.922975358295574,3.0171472114078317,39.940122569703405
300.0,13,1.0,0.15,45.0,3.0,135.0,0.0,0.0,0.0,292.5846038178819,498.50403618252517,6729.445887811283,47.09264305177109,-47.650681198910036,5.278134587313086,67.1736566673743,121.39709550820096,5.0,-5.0,1.0,1084.8049995728566,177.02215139822061,45.0,869.1938626504656,45.0,215.61113692239087,21.17091769637807,14.409440970797727,63.55263157894737,45.0,-9.039702797974769,50.43603107774217,2.3347818813308843,52.770812959073055
300.0,13,1.0,0.2,60.0,3.0,180.0,0.0,0.0,0.0,295.7358669831872,500.0,6801.924940613304,50.0,-40.04728349216532,1.5913603777673149,33.83253929643149,36.60128868864824,5.0,-5.0,1.0,2138.633166268155,251.79982397345896,60.0,917.7288792393988,60.0,1220.904287028756,46.92962550196302,26.40210188006079,90.0,60.0,0.0,60.418003213942264,0.0,60.418003213942264
350.0,13,1.0,0.0,0.0,3.0,0.0,52.15611330385468,0.18897142501396624,43.71962207920865,327.9524220341068,495.2012715712988,7542.905706784456,47.75286458602062,-39.76776013552109,21.80505311777238,168.161918241198,501.51622170876476,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
350.0,13,1.0,0.01,3.5,3.0,10.5,41.65611330385468,0.15092794675309668,40.21962207920865,328.34259600803375,496.71171662125334,7551.879708184775,47.75286458602062,-40.145876479011406,21.30665465894191,163.89796323414055,490.05305715566385,5.0,-5.0,1.0,370.1736047889507,42.66943061867677,12.966256255067606,232.61563015174022,12.966256255067606,137.55797463721046,9.466256255067606,1.0500000000000007,4.942982456140351,3.5,-3.5000000000000004,6.791549619976807,3.427386467194984,10.218936087171791
350.0,13,1.0,0.05,17.5,3.0,52.5,13.523492219726506,0.04899816021640038,13.523492219726506,328.68058839627474,500.0,7559.653533114319,48.07520579359078,-30.980108438069465,20.426570862712566,152.386782436531,469.811129842389,5.0,-5.0,1.0,1623.358460266828,150.1685365882185,27.589187369958097,1005.9485759883593,27.589187369958097,617.4098842784687,20.775135804667002,5.25,24.714912280701753,17.5,-17.5,30.551294469146647,12.374643842289844,42.92593831143649
350.0,13,1.0,0.1,35.0,3.0,105.0,0.0,0.0,0.0,330.1051999090556,500.0,7592.41959790828,35.08138056312441,-38.05667574931874,18.196822970171205,149.12443011626064,418.5269283139377,5.000000000000007,-5.0,1.0,2598.712534591626,252.08917900592982,54.66016553415557,1602.8410138537017,54.66016553415557,995.8715207379242,24.554467225219128,10.5,49.42982456140351,35.0,-35.0,55.71225408758901,17.890509041264455,73.60276312885347
