system,study,month,day,horizon,ramp_multiplier,upward_adder_fraction,forecast_type,forecast_model,forecast_rho,sigma_rel,seed,shortage_penalty,loc_rp,loc_rp_energy,loc_la,loc_tlmp,delta_la_rp,shed_rp_mwh,shed_la_mwh,spill_rp_mwh,spill_la_mwh,short_up_mwh,short_down_mwh,rcup_active_share,rcdn_active_share,max_rcup,max_tlmp_adjustment,rp_bind_share,la_bind_share,emergency_rp_mwh,emergency_la_mwh
10gen,ramp_requirement,1,12,13,0.1,0.0,perfect,independent,0.0,0.0,0,65.0,12852610.903315846,12866157.943412326,7714159.727801764,0.0,-5138451.1755140815,1354.400113111816,1117.1499764338378,1599.1327694356999,1129.8622580776841,89.74320716913049,115.85301051068271,0.07291666666666667,0.10069444444444445,65.0,3685.0,0.1795138888888889,0.19791666666666666,2953.532882547516,2247.012234511522
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,12846842.218773998,12866865.825114079,7714159.727801764,0.0,-5132682.490972234,1354.400113111816,1117.1499764338378,1599.1327694356999,1129.8622580776841,486.02478555391787,115.85301051068271,0.3159722222222222,0.10069444444444445,65.0,3685.0,0.17777777777777778,0.19791666666666666,2953.532882547516,2247.012234511522
10gen,ramp_requirement,1,12,13,0.1,0.16,perfect,independent,0.0,0.0,0,65.0,12846881.163908705,12875172.983486503,7714159.727801764,0.0,-5132721.436106941,1354.400113111816,1117.1499764338378,1599.1327694356999,1129.8622580776841,1033.4129397392871,115.85301051068271,0.4131944444444444,0.10069444444444445,65.0,3685.0,0.17604166666666668,0.19791666666666666,2953.532882547516,2247.012234511522
10gen,ramp_requirement,1,12,13,0.1,0.24,perfect,independent,0.0,0.0,0,65.0,12250526.224327423,12285812.946073523,7714159.727801764,0.0,-4536366.496525658,1354.400113111816,1117.1499764338378,1459.8952292865088,1129.8622580776841,2241.2955469976346,108.1648368251136,1.0,0.09722222222222222,65.0,3685.0,0.1701388888888889,0.19791666666666666,2814.2953423983245,2247.012234511522
10gen,ramp_requirement,1,12,13,0.2,0.0,perfect,independent,0.0,0.0,0,65.0,5382056.625388733,5393465.705270941,1748077.1280067149,0.0,-3633979.4973820182,536.5443554306034,446.11097635884653,552.557546269736,163.01328665483058,51.416034080803044,57.70791614407328,0.08680555555555555,0.06597222222222222,65.0,3520.0,0.07951388888888888,0.0798611111111111,1089.1019017003396,609.1242630136771
10gen,ramp_requirement,1,12,13,0.2,0.08,perfect,independent,0.0,0.0,0,65.0,4634084.949099935,4650638.523742137,1748077.1280067149,0.0,-2886007.82109322,494.12676572750445,446.11097635884653,552.557546269736,163.01328665483058,431.18937249385203,57.70791614407328,0.22916666666666666,0.06597222222222222,65.0,3520.0,0.07743055555555556,0.0798611111111111,1046.6843119972405,609.1242630136771
10gen,ramp_requirement,1,12,13,0.2,0.16,perfect,independent,0.0,0.0,0,65.0,4566168.752554004,4589342.842756003,1748077.1280067149,0.0,-2818091.624547289,475.7236605433667,446.11097635884653,552.557546269736,163.01328665483058,882.221368291766,57.70791614407328,0.3263888888888889,0.06597222222222222,65.0,3520.0,0.07673611111111112,0.0798611111111111,1028.2812068131027,609.1242630136771
10gen,ramp_requirement,1,12,13,0.2,0.24,perfect,independent,0.0,0.0,0,65.0,4566371.286496481,4598523.101899977,1748077.1280067149,0.0,-2818294.158489766,475.7236605433667,446.11097635884653,552.557546269736,163.01328665483058,1395.9592462963647,57.70791614407328,0.3333333333333333,0.06597222222222222,65.0,3520.0,0.07430555555555556,0.0798611111111111,1028.2812068131027,609.1242630136771
10gen,ramp_requirement,1,12,13,0.4,0.0,perfect,independent,0.0,0.0,0,65.0,1846876.714570967,1851851.5774111024,8597.771357004298,0.0,-1838278.9432139627,443.32077399757446,419.0174344375861,82.68593037772635,0.0,43.2282978132741,19.37541006901381,0.0763888888888889,0.024305555555555556,65.0,3515.0,0.028125,0.026041666666666668,526.0067043753008,419.0174344375861
10gen,ramp_requirement,1,12,13,0.4,0.08,perfect,independent,0.0,0.0,0,65.0,1605457.732267391,1615577.1419719835,8597.771357004298,0.0,-1596859.9609103866,424.7393525506101,419.0174344375861,82.68593037772635,0.0,378.2010639049547,19.37541006901381,0.1840277777777778,0.024305555555555556,65.0,3515.0,0.028125,0.026041666666666668,507.4252829283364,419.0174344375861
10gen,ramp_requirement,1,12,13,0.4,0.16,perfect,independent,0.0,0.0,0,65.0,1569182.7756880606,1584458.4314351475,8597.771357004298,0.0,-1560585.0043310563,420.2535358570656,419.0174344375861,82.68593037772635,0.0,768.6028928750031,19.37541006901381,0.3090277777777778,0.024305555555555556,65.0,3515.0,0.026041666666666668,0.026041666666666668,502.9394662347919,419.0174344375861
10gen,ramp_requirement,1,12,13,0.4,0.24,perfect,independent,0.0,0.0,0,65.0,1562679.9260243215,1588714.18692844,8597.771357004298,0.0,-1554082.1546673172,419.0174344375861,419.0174344375861,82.68593037772635,0.0,1191.210482327263,19.37541006901381,0.3159722222222222,0.024305555555555556,65.0,3515.0,0.025347222222222222,0.026041666666666668,501.7033648153124,419.0174344375861
