system,study,month,day,horizon,ramp_multiplier,upward_adder_fraction,forecast_type,forecast_model,forecast_rho,sigma_rel,seed,shortage_penalty,generator,cost,capacity,flexibility,rp_bind,la_bind,rp_scarcity_flex,la_scarcity_flex,rp_utilization,la_utilization,rp_headroom,la_headroom,rp_margin_share,la_margin_share,loc_rp,loc_rp_energy,loc_la,loc_tlmp,delta_la_rp
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,1,185.0,22.0,0.3409090909090909,0.013888888888888888,0.020833333333333332,0.040740740740740744,0.06111111111111111,0.1950126144011418,0.19603849823952563,0.8049873855988583,0.8039615017604744,0.19791666666666666,0.19791666666666666,5577.241234529123,5719.519283697649,0.0,0.0,-5577.241234529123
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,2,30.0,170.0,0.10294117647058823,0.04861111111111111,0.0798611111111111,0.47222222222222227,0.7757936507936508,0.32742605504816286,0.33913384948899755,0.6725739449518371,0.6608661505110024,0.3368055555555556,0.3472222222222222,54482.22754853964,55606.21693223808,62.45041938824579,0.0,-54419.77712915139
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,3,55.0,85.0,0.08823529411764706,0.08680555555555555,0.09722222222222222,0.9837962962962962,1.1018518518518519,0.22162699017717238,0.2266199936493677,0.7783730098228276,0.7733800063506323,0.22569444444444445,0.21875,82977.29166666628,83832.91666666628,0.6791418339125812,0.0,-82976.61252483237
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,4,15.0,230.0,0.03260869565217391,0.3298611111111111,0.3506944444444444,10.11574074074074,10.75462962962963,0.68496696667074,0.6640362125279902,0.31503303332926,0.33596378747200983,0.6388888888888888,0.6527777777777778,1165906.156571356,1167346.156571356,411659.3020473351,0.0,-754246.854524021
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,5,20.0,613.0,0.061174551386623165,0.10069444444444445,0.10416666666666667,1.6460185185185185,1.702777777777778,0.3774374459651538,0.37844313791032563,0.6225625540348463,0.6215568620896743,0.3680555555555556,0.375,369390.51045610197,374751.80424501374,28390.846468023956,0.0,-340999.663988078
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,6,19.5,686.0,0.014577259475218658,0.6527777777777778,0.6909722222222222,44.78055555555556,47.40069444444445,0.6758288590604374,0.6436739613000292,0.32417114093956256,0.35632603869997076,0.5833333333333334,0.6076388888888888,7980920.167716933,7985068.81828385,5608924.63202619,0.0,-2371995.5356907435
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,7,48.0,45.0,0.2222222222222222,0.03125,0.06597222222222222,0.140625,0.296875,0.2859762600899106,0.3334700007456005,0.7140237399100893,0.6665299992543994,0.3125,0.3125,5661.173616446205,5929.0227569051785,52.972289183177054,0.0,-5608.201327263028
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,8,60.0,50.0,0.1,0.0625,0.0798611111111111,0.625,0.798611111111111,0.20664947735225275,0.21463582326836905,0.7933505226477472,0.7853641767316311,0.21180555555555555,0.2048611111111111,53574.76642913802,54098.08565842523,0.0,0.0,-53574.76642913802
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,9,57.0,260.0,0.019230769230769232,0.3020833333333333,0.3125,15.708333333333332,16.25,0.20470726448221083,0.21447642770553163,0.7952927355177892,0.7855235722944683,0.2222222222222222,0.20833333333333334,1581782.6139089898,1583849.5972497393,998641.7340089153,0.0,-583140.8799000746
10gen,ramp_requirement,1,12,13,0.1,0.08,perfect,independent,0.0,0.0,0,65.0,10,50.0,400.0,0.03125,0.14930555555555555,0.17708333333333334,4.777777777777778,5.666666666666667,0.25612686152504915,0.2788131382363385,0.7438731384749508,0.7211868617636615,0.23958333333333334,0.2465277777777778,1546570.0696252985,1550663.6874661874,666427.1114008948,0.0,-880142.9582244037
